ZIP_TYPE,OLD_ZIP,ZIP,CITY,COUNTY
POBOX,78708,78758,Austin,Travis
POBOX,78709,78749,Austin,Travis
POBOX,78711,78701,Austin,Travis
POBOX,78713,78701,Austin,Travis
POBOX,78714,78703,Austin,Travis
POBOX,78715,78745,Austin,Travis
POBOX,78716,78746,Austin,Travis
POBOX,78718,78758,Austin,Travis
POBOX,78720,78759,Austin,Williamson
POBOX,78755,78731,Austin,Travis
POBOX,78760,78744,Austin,Travis
POBOX,78761,78752,Austin,Travis
POBOX,78762,78702,Austin,Travis
POBOX,78763,78703,Austin,Travis
POBOX,78764,78704,Austin,Travis
POBOX,78765,78705,Austin,Travis
POBOX,78766,78757,Austin,Travis
POBOX,78767,78701,Austin,Travis
POBOX,78768,78701,Austin,Travis
UNIQUE-SINGLE ENTITY,73301,78744,Austin,Travis
UNIQUE-SINGLE ENTITY,73344,78741,Austin,Travis
UNIQUE-SINGLE ENTITY,78772,78741,Austin,Travis
UNIQUE-SINGLE ENTITY,78773,78752,Austin,Travis
UNIQUE-SINGLE ENTITY,78774,78701,Austin,Travis
UNIQUE-SINGLE ENTITY,78778,78701,Austin,Travis
UNIQUE-SINGLE ENTITY,78779,78731,Austin,Travis
UNIQUE-SINGLE ENTITY,78783,78701,Austin,Travis
POBOX,78680,78681,RoundRock,Williamson
POBOX,78683,78664,RoundRock,Williamson
UNIQUE-SINGLE ENTITY,78682,78664,RoundRock,Williamson
POBOX,76573,76530,Schwertner,Williamson
POBOX,78627,78626,Georgetown,Williamson
POBOX,78630,78613,CedarPark,Williamson
POBOX,78646,78641,Leander,Williamson
POBOX,78673,78626,Walburg,Williamson
POBOX,78674,78626,Weir,Williamson
POBOX,78131,78130,NewBraunfels,Comal
POBOX,78115,78155,Geronimo,Guadalupe
POBOX,78156,78155,Seguin,Guadalupe
POBOX,78667,78666,SanMarcos,Hays